"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
233.426372256831,291.437880270298,235.419998572595,349.051874589628,266.809189801141,379.610106224389,399.746882530899,362.311885073378,345.711351104239,240.430104836863,216.957936428918
213.206222208548,276.38188630626,205.146628309091,342.231749482916,261.649877432246,396.827304131698,350.053505834112,322.289421233122,349.263662627014,192.625415537237,187.03782844109
258.095281606715,256.037060659349,231.627345930933,346.339189882613,285.950229629864,376.864791036416,430.755035458927,345.698257260225,327.865463618233,209.992567955294,237.762639478994
251.226515010652,272.9368675083,220.08869604968,394.310674919464,268.22856323447,360.165708316267,399.124147060655,330.025317381999,343.779776944976,216.574550182556,254.368259960744
202.901186974069,260.420661897791,252.098947957925,349.888269040073,287.479528649388,391.104360563403,406.228316347842,342.48048035178,351.967232035942,242.528982670068,196.60388601401
250.975354373797,304.524680773406,204.764390948102,338.240953426857,291.658002867494,331.848438860549,387.287811252721,317.922380452691,363.427843504418,248.950654420587,255.93049785056
252.187280699434,279.107843389088,196.34091767563,349.002185599915,263.672064389908,365.722301649861,470.387013998609,317.521033587739,370.833320206582,169.887779419652,245.543013218571
254.308873519171,280.566401440261,244.448736500867,366.512268305056,276.527476216212,403.28206014242,405.39063230765,357.645754213178,375.108102226319,194.526471766709,242.308166048886
223.118518301456,273.672145369358,225.128328540383,399.062272727231,289.535810488031,340.569895996664,498.976681493002,331.495555610515,303.702253377601,252.898648490593,228.437955210414
259.910375005464,247.568909359171,193.250241951762,362.252375603039,281.693615092722,343.27931897166,400.034449155473,314.983818844641,351.028730638922,208.46666690539,248.427742960122
241.481588163029,324.686055133491,260.791596595865,312.089048304342,274.992984531551,377.69692020254,416.72083788437,309.766277198632,367.614339755407,193.605898541924,253.56652799031
244.913556134169,257.967733704912,263.608628534923,341.555736046109,268.999068307026,406.948290209579,374.848938814856,311.321468513423,388.282097905215,247.26332198526,213.510006603368
208.019695349417,284.56575098974,214.924671782393,298.188039192131,286.807290306564,391.330580928266,443.990094834569,350.963881930268,314.230570403651,238.438115962365,207.227259510366
241.635416334794,242.487704357926,255.297598063509,349.516258099366,263.213549929651,355.946529999393,456.819461530454,359.39067848101,383.169884033341,246.074810073221,307.09357922657
242.868397403125,290.089407337867,243.440317759731,295.937308761036,279.468050548146,373.887569936707,411.74686029757,284.964515738412,358.848008005514,222.957792419514,289.346122612857
